image_path,item_id,split,caption,gt_x1,gt_y1,gt_x2,gt_y2
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Blouses_Shirts_id_00000001_02_1_front.jpg,id_00000001,gallery,a white blouse with black shorts,50,49,208,235
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Blouses_Shirts_id_00000001_02_3_back.jpg,id_00000001,gallery,a white blouse with black shorts,50,42,213,240
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Tees_Tanks_id_00000007_01_1_front.jpg,id_00000007,gallery,The shirt,66,67,205,256
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Tees_Tanks_id_00000007_01_3_back.jpg,id_00000007,gallery,a cropped tank top with black leggings,72,40,168,220
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Dresses_id_00000008_02_3_back.jpg,id_00000008,gallery,a black dress,73,42,186,243
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Dresses_id_00000011_02_1_front.jpg,id_00000011,gallery,a black floral print midi dress,91,33,150,226
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Tees_Tanks_id_00000012_02_1_front.jpg,id_00000012,gallery,a cropped tank top,83,59,174,157
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Tees_Tanks_id_00000012_02_2_side.jpg,id_00000012,gallery,a cropped tank top with black pants,77,56,141,161
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Blouses_Shirts_id_00000015_02_2_side.jpg,id_00000015,gallery,a yellow lace dress,102,51,131,173
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_WOMEN_Blouses_Shirts_id_00000015_02_4_full.jpg,id_00000015,gallery,a yellow cropped top with lace,105,36,167,106
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_MEN_Sweaters_id_00000016_01_1_front.jpg,id_00000016,gallery,The shirt,22,46,190,252
/home/dhruv/.cache/kagglehub/datasets/ankithkini/preprocessed-deepfashion-input/versions/2/split_images/gallery/img_MEN_Sweaters_id_00000016_01_3_back.jpg,id_00000016,gallery,a short sleeve shirt with paisley print,62,34,235,239
